y,predicted_y,distance1,distance2,distance3
1.0,1.0,0.0,0.34641418578854916,0.7879250266972285
1.0,1.0,0.0,0.45963721781411865,0.4904474049540464
0.5,0.5,0.0,0.2981613676797873,0.5101929790879598
1.0,1.0,0.0,0.34641418578854916,0.5942930872183745
0.0,0.0,0.0,0.29204002389178163,0.30361481592899464
0.5,0.5,0.0,0.37199647979598466,0.39293569228977815
0.5,0.5,0.0,0.3380924682843766,0.36589250846724536
0.5,0.5,0.0,0.49807833276075925,0.6187371777311916
1.0,1.0,0.0,0.4193413029743497,0.4267659818558925
0.0,0.0,0.0,0.3857063829130046,0.41248910723645243
0.5,0.5,0.0,0.39553410256656746,0.3990222675253418
0.5,0.5,0.0,0.4462243019089682,0.5101640146759445
1.0,1.0,0.0,0.3917477379737612,0.4116438652602349
0.0,0.0,0.0,0.36110029596380927,0.36856521403122106
0.5,0.5,0.0,0.41780994445022396,0.4324017465775276
0.0,0.0,0.0,0.2650174507561185,0.2842692042224664
0.0,0.0,0.0,0.2781900038894872,0.38936264085140326
1.0,1.0,0.0,0.40157048909940696,0.4271580687499981
1.0,1.0,0.0,0.31293271487793045,0.3686795735697543
0.5,0.5,0.0,0.2973470982065918,0.32472838124652614
0.5,0.5,0.0,0.5344833221458002,0.5851008190148121
0.0,0.0,0.0,0.315110615271761,0.34513002003807086
0.5,0.5,0.0,0.43461162076328164,0.4501538450570764
0.0,0.0,0.0,0.3281427314439459,0.3348771245664221
1.0,1.0,0.0,0.4585747668406934,0.5646280233022618
0.5,0.5,0.0,0.32544765170339085,0.36589250846724536
0.5,0.5,0.0,0.5851008190148121,0.6558697453874798
1.0,1.0,0.0,0.3499587425764936,0.4332863733963407
0.0,0.0,0.0,0.30803528293769156,0.3699877800997246
0.0,0.0,0.0,0.36110029596380927,0.39082250543721686
0.0,0.0,0.0,0.29204002389178163,0.30803528293769156
1.0,1.0,0.0,0.44436132523671096,0.4662355658367788
0.0,0.0,0.0,0.3855869313150532,0.39603938095374214
0.0,0.0,0.0,0.37201106256183947,0.3932598552420797
0.5,0.5,0.0,0.5344833221458002,0.6558697453874798
1.0,1.0,0.0,0.29525271870174774,0.4329002868262177
0.5,0.5,0.0,0.4691807816167296,0.47699363182427273
0.0,0.0,0.0,0.36856521403122106,0.413736214216883
1.0,1.0,0.0,0.3426002244996609,0.3678773075621154
0.5,0.5,0.0,0.5697788312227746,0.6110125233003277
0.0,0.0,0.0,0.28611148634396066,0.3309906663625791
1.0,1.0,0.0,0.3419738560981025,0.347344398406364
0.5,0.5,0.0,0.345494803329189,0.4237186751182453
0.5,0.5,0.0,0.3624492295447214,0.5090789754261128
0.0,0.0,0.0,0.30150764167018856,0.31580093425307193
0.5,0.5,0.0,0.6566399438257576,0.7140273800323503
0.0,0.0,0.0,0.38411479233046164,0.39603938095374214
0.0,0.0,0.0,0.2950014467703299,0.30150764167018856
0.5,0.5,0.0,0.5264035283900359,0.555697981804916
0.0,0.0,0.0,0.3855869313150532,0.5436380649968828
0.0,0.0,0.0,0.3281427314439459,0.33900929250433176
